Ticker	Name	CUSIP	Fama Industry	Currency	Sector	Industry	Last Updated	Prior Tickers	Ticker Change Date	Related Tickers	Exchange	SIC	Perma Ticker	Location	Delisted From	Is Foreign
MTB	M&T BANK CORP	55261F104	Banking	USD	Financial	Regional - Northeast Banks	2016-11-05	None	None	MTZ	NYSE	6022	199725	NEW YORK, U.S.A	None	N
MTD	METTLER TOLEDO INTERNATIONAL INC	592688105	Measuring and Control Equipment	USD	Technology	Scientific & Technical Instruments	2016-11-05	None	None	None	NYSE	3826	196859	OHIO, U.S.A	None	N
MTDR	Matador Resources Co	576485205	Coal	USD	Basic Materials	Independent Oil & Gas	2016-11-06	None	None	None	NYSE	1311	192364	TEXAS, U.S.A	None	N
MTOR	MERITOR INC	59001K100,043353101	Automobiles and Trucks	USD	Industrial Goods	Auto Parts	2016-08-05	None	None	ARM	NYSE	3714	196040	MICHIGAN, U.S.A	None	N
MTSI	MACOM Technology Solutions Holdings, Inc.	55405Y100	Electronic Equipment	USD	Technology	Communication Equipment	2016-11-18	None	None	None	NASDAQ	3674	192851	MASSACHUSETTS, U.S.A	None	N
MTW	MANITOWOC CO INC	563571108	Machinery	USD	Industrial Goods	Farm & Construction Machinery	2016-11-04	None	None	None	NYSE	3531	199561	WISCONSIN, U.S.A	None	N
MTX	MINERALS TECHNOLOGIES INC	603158106	Chemicals	USD	Basic Materials	Chemicals - Major Diversified	2016-11-05	None	None	None	NYSE	2810	197738	NEW YORK, U.S.A	None	N
MTZ	MASTEC INC	576323109	Construction	USD	Industrial Goods	Heavy Construction	2016-11-05	None	None	None	NYSE	1623	199884	FLORIDA, U.S.A	None	N
MU	MICRON TECHNOLOGY INC	595112103	Electronic Equipment	USD	Technology	Semiconductor- Memory Chips	2016-10-29	None	None	None	NASDAQ	3674	198808	IDAHO, U.S.A	None	N
MUR	MURPHY OIL CORP	626717102	Coal	USD	Basic Materials	Major Integrated Oil & Gas	2016-11-04	None	None	None	NYSE	1311	198859	ARKANSAS, U.S.A	None	N
MUSA	Murphy USA Inc.	626755102	Retail	USD	Services	Specialty Retail, Other	2016-11-04	None	None	None	NYSE	5500	191514	ARKANSAS, U.S.A	None	N
MWW	MONSTER WORLDWIDE, INC.	611742107	Business Services	USD	Services	Staffing & Outsourcing Services	2016-11-20	None	None	None	DELISTED	7363	197013	MASSACHUSETTS, U.S.A	NYSE	N
MXIM	MAXIM INTEGRATED PRODUCTS INC	57772K101	Electronic Equipment	USD	Technology	Semiconductor - Broad Line	2016-10-22	None	None	None	NASDAQ	3674	198698	CALIFORNIA, U.S.A	None	N
MYE	MYERS INDUSTRIES INC	628464109	Rubber and Plastic Products	USD	Industrial Goods	Rubber & Plastics	2016-11-09	None	None	None	NYSE	3089	199508	OHIO, U.S.A	None	N
MYGN	MYRIAD GENETICS INC	62855J104	Pharmaceutical Products	USD	Services	Research Services	2016-11-03	None	None	None	NASDAQ	2835	197641	UTAH, U.S.A	None	N
MYL	Mylan N.V.	628530107,001103120	Pharmaceutical Products	USD	Healthcare	Drug Manufacturers - Other	2016-11-10	None	None	None	NASDAQ	2834	168145	UNITED KINGDOM	None	N
MYOS	MYOS RENS TECHNOLOGY INC.	554051201	Pharmaceutical Products	USD	Consumer Goods	Food - Major Diversified	2016-11-15	None	None	None	NASDAQ	2834	193968	NEW JERSEY, U.S.A	None	N
N	NETSUITE INC	64118Q107	Business Services	USD	Technology	Business Software & Services	2016-11-20	None	None	None	DELISTED	7372	196017	CALIFORNIA, U.S.A	NYSE	N
NANO	NANOMETRICS INC	063007710,630077105	Measuring and Control Equipment	USD	Industrial Goods	Diversified Machinery	2016-10-29	None	None	None	NASDAQ	3829	198934	CALIFORNIA, U.S.A	None	N
NATI	NATIONAL INSTRUMENTS CORP	636518102	Business Services	USD	Technology	Technical & System Software	2016-11-01	None	None	None	NASDAQ	7372	197306	TEXAS, U.S.A	None	N
NAUH	National American University Holdings, Inc.	63245Q105	Personal Services	USD	Services	Education & Training Services	2016-10-01	None	None	None	NASDAQ	8200	193996	SOUTH DAKOTA, U.S.A	None	N
NAV	NAVISTAR INTERNATIONAL CORP	63934E108	Automobiles and Trucks	USD	Industrial Goods	Trucks & Other Vehicles	2016-09-09	None	None	None	NYSE	3711	198373	ILLINOIS, U.S.A	None	N
NAVI	NAVIENT CORP	63938C108	Trading	USD	Financial	Asset Management	2016-11-08	None	None	None	NASDAQ	6211	191285	DELAWARE, U.S.A	None	N
NBHC	National Bank Holdings Corp	633707104	Banking	USD	Financial	Regional - Midwest Banks	2016-11-05	None	None	None	NYSE	6021	193118	COLORADO, U.S.A	None	N
